Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Country
M,21,205,91,Kazakhstan,KAZ,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Super-Heavyweight,Bronze,Kazakhstan
M,25,205,91,Kazakhstan,KAZ,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Super-Heavyweight,Bronze,Kazakhstan
M,20,185,67,Poland,POL,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Welterweight,Bronze,Poland
M,22,188,75,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,USA
M,49,NA,NA,Switzerland,SUI,1936 Summer,1936,Summer,Berlin,Alpinism,Alpinism Mixed Alpinism,Gold,Switzerland
F,20,169,66,Poland,POL,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Bronze,Poland
F,24,169,66,Poland,POL,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Bronze,Poland
F,39,168,58,Russia,RUS,2000 Summer,2000,Summer,Sydney,Shooting,Shooting Women's Skeet,Silver,Russia
M,33,178,86,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed Two Person Keelboat,Gold,Russia
M,28,NA,NA,Sweden,SWE,1920 Summer,1920,Summer,Antwerpen,Modern Pentathlon,Modern Pentathlon Men's Individual,Gold,Sweden
M,32,NA,NA,Sweden,SWE,1924 Summer,1924,Summer,Paris,Modern Pentathlon,Modern Pentathlon Men's Individual,Silver,Sweden
M,30,182,108,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze,Russia
M,23,NA,NA,Soviet Union,URS,1956 Summer,1956,Summer,Melbourne,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze,Russia
F,27,177,77,Bulgaria,BUL,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Women's Single Sculls,Silver,Bulgaria
F,31,177,77,Bulgaria,BUL,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Single Sculls,Bronze,Bulgaria
F,35,177,77,Bulgaria,BUL,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Single Sculls,Gold,Bulgaria
M,21,167,57,Russia,RUS,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Featherweight,Bronze,Russia
M,28,168,56,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Marathon,Bronze,Russia
F,21,172,60,Poland,POL,1996 Summer,1996,Summer,Atlanta,Archery,Archery Women's Team,Bronze,Poland
M,27,178,74,United States,USA,1976 Summer,1976,Summer,Montreal,Wrestling,"Wrestling Men's Welterweight, Freestyle",Bronze,USA
M,31,183,98,Australia,AUS,2000 Summer,2000,Summer,Sydney,Cycling,Cycling Men's Team Sprint,Bronze,Australia
M,21,179,NA,United States,USA,1920 Summer,1920,Summer,Antwerpen,Boxing,Boxing Men's Light-Heavyweight,Gold,USA
M,NA,NA,NA,Great Britain-1,GBR,1908 Summer,1908,Summer,London,Shooting,"Shooting Men's Trap, Team",Gold,UK
F,24,NA,NA,Great Britain,GBR,1908 Summer,1908,Summer,London,Tennis,"Tennis Women's Singles, Covered Courts",Gold,UK
M,21,185,70,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,Silver,USA
M,24,186,81,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Decathlon,Gold,USA
M,28,186,81,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,Gold,USA
M,40,NA,NA,Great Britain,GBR,1908 Summer,1908,Summer,London,Tennis,Tennis Men's Singles,Bronze,UK
M,24,185,75,Denmark,DEN,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Lightweight Coxless Fours,Gold,Denmark
M,28,185,75,Denmark,DEN,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze,Denmark
M,32,185,75,Denmark,DEN,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Gold,Denmark
M,22,186,100,France,FRA,1936 Summer,1936,Summer,Berlin,Canoeing,"Canoeing Men's Folding Kayak Singles, 10 kilometres",Silver,France
M,34,186,100,France,FRA,1948 Summer,1948,Summer,London,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze,France
F,16,153,40,Romania,ROU,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Uneven Bars,Silver,Romania
M,24,179,77,Germany,GER,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's Decathlon,Bronze,Germany
M,22,170,66,Japan,JPN,2012 Summer,2012,Summer,London,Judo,Judo Men's Half-Lightweight,Bronze,Japan
M,26,170,66,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Half-Lightweight,Bronze,Japan
M,29,184,80,Germany,GER,2000 Summer,2000,Summer,Sydney,Taekwondo,Taekwondo Men's Welterweight,Silver,Germany
M,25,179,60,United States,USA,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 800 metres,Silver,USA
M,35,180,76,Spain,ESP,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Mixed Multihull,Gold,Spain
F,28,174,70,Spain,ESP,2012 Summer,2012,Summer,London,Sailing,Sailing Women's Three Person Keelboat,Gold,Spain
F,26,183,72,West Germany,FRG,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Coxless Pairs,Bronze,Germany
M,20,168,60,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Extra-Lightweight,Bronze,UK
F,21,174,62,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 200 metres,Gold,Germany
F,25,174,62,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 200 metres,Gold,Germany
M,21,NA,NA,Germany,GER,1936 Summer,1936,Summer,Berlin,Rowing,Rowing Men's Coxless Fours,Gold,Germany
M,22,186,77,Sweden,SWE,1988 Summer,1988,Summer,Seoul,Tennis,Tennis Men's Singles,Bronze,Sweden
M,22,186,77,Sweden,SWE,1988 Summer,1988,Summer,Seoul,Tennis,Tennis Men's Doubles,Bronze,Sweden
F,18,167,64,United States,USA,1924 Summer,1924,Summer,Paris,Swimming,Swimming Women's 100 metres Freestyle,Bronze,USA
F,18,167,64,United States,USA,1924 Summer,1924,Summer,Paris,Swimming,Swimming Women's 400 metres Freestyle,Bronze,USA
M,25,168,72,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's Keirin,Silver,UK
M,32,196,91,Sweden,SWE,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Men's epee, Team",Gold,Sweden
M,33,179,73,Sweden,SWE,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold,Sweden
F,20,171,65,Australia,AUS,2012 Summer,2012,Summer,London,Cycling,Cycling Women's Omnium,Bronze,Australia
M,22,NA,NA,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 100 metres,Bronze,UK
M,22,NA,NA,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 200 metres,Bronze,UK
M,23,183,72,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Lightweight Double Sculls,Bronze,Australia
M,30,182,73,Great Britain,GBR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Triple Jump,Silver,UK
M,34,182,73,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Triple Jump,Gold,UK
F,17,NA,NA,Great Britain,GBR,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Women's 100 metres Backstroke,Bronze,UK
M,21,185,82,Jamaica,JAM,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,Silver,Jamaica
M,24,176,64,Canada,CAN,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 800 metres,Bronze,Canada
M,24,176,64,Canada,CAN,1932 Summer,1932,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",Bronze,Canada
M,28,176,64,Canada,CAN,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 800 metres,Bronze,Canada
F,23,163,57,United States,USA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze,USA
M,26,NA,NA,Czechoslovakia,TCH,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Gymnastics Men's Team All-Around,Silver,Czech Republic
F,20,170,58,Japan,JPN,2000 Summer,2000,Summer,Sydney,Synchronized Swimming,Synchronized Swimming Women's Team,Silver,Japan
F,26,175,63,Japan,JPN,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Women's Volleyball,Bronze,Japan
M,19,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Golf,Golf Men's Individual,Silver,USA
M,26,187,81,Ireland,IRL,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Light-Heavyweight,Silver,Ireland
M,22,174,65,Nigeria,NGR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,Nigeria
F,14,174,57,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 100 metres Backstroke,Silver,Hungary
F,14,174,57,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 200 metres Backstroke,Gold,Hungary
F,17,174,57,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 100 metres Backstroke,Gold,Hungary
